"","ORIGIN_AIRPORT_ID","ORIGIN","name"
"196",13061,"LRD","Laredo International"
"197",13076,"LSE","La Crosse Regional"
"198",13121,"LWB","Greenbrier Valley"
"199",13127,"LWS","Lewiston Nez Perce County"
"200",13139,"LYH","Lynchburg Regional/Preston Glenn Field"
"201",13158,"MAF","Midland International Air and Space Port"
"202",13184,"MBS","MBS International"
"203",13198,"MCI","Kansas City International"
"204",13204,"MCO","Orlando International"
"205",13230,"MDT","Harrisburg International"
"206",13232,"MDW","Chicago Midway International"
"207",13241,"MEI","Key Field"
"208",13244,"MEM","Memphis International"
"209",13256,"MFE","McAllen Miller International"
"210",13264,"MFR","Rogue Valley International - Medford"
"211",13277,"MGM","Montgomery Regional"
"212",13290,"MHK","Manhattan Regional"
"213",13296,"MHT","Manchester-Boston Regional"
"214",13303,"MIA","Miami International"
"215",13342,"MKE","General Mitchell International"
"216",13344,"MKG","Muskegon County"
"217",13360,"MLB","Melbourne International"
"218",13367,"MLI","Quad City International"
"219",13377,"MLU","Monroe Regional"
"220",13388,"MMH","Mammoth Lakes Airport"
"221",13422,"MOB","Mobile Regional"
"222",13433,"MOT","Minot International"
"223",13459,"MQT","Sawyer International"
"224",13476,"MRY","Monterey Regional"
"225",13485,"MSN","Dane County Regional-Truax Field"
"226",13486,"MSO","Missoula International"
"227",13487,"MSP","Minneapolis-St Paul International"
"228",13495,"MSY","Louis Armstrong New Orleans International"
"229",13502,"MTJ","Montrose Regional"
"230",13577,"MYR","Myrtle Beach International"
"231",13795,"OAJ","Albert J Ellis"
"232",13796,"OAK","Metropolitan Oakland International"
"233",13829,"OGD","Ogden-Hinckley"
"234",13830,"OGG","Kahului Airport"
"235",13832,"OGS","Ogdensburg International"
"236",13851,"OKC","Will Rogers World"
"237",13871,"OMA","Eppley Airfield"
"238",13873,"OME","Nome Airport"
"239",13891,"ONT","Ontario International"
"240",13930,"ORD","Chicago O'Hare International"
"241",13931,"ORF","Norfolk International"
"242",13933,"ORH","Worcester Regional"
"243",13964,"OTH","Southwest Oregon Regional"
"244",13970,"OTZ","Ralph Wien Memorial"
