"AIRPORT_ID","LATITUDE","LONGITUDE",
10001,58.10944444,-152.90666667,
10003,65.54805556,-161.07166667,
10004,68.08333333,-163.16666667,
10005,67.57000000,-148.18388889,
10006,57.74527778,-152.88277778,
10007,55.55472222,-133.10166667,
10008,59.15694444,-151.82916667,
10009,59.36277778,-153.43055556,
10010,42.28888889,-73.71027778,
10010,42.29138889,-73.71027778,
10011,35.99027778,-113.81638889,
10011,35.98611111,-113.81694444,
10011,35.99027778,-113.81638889,
10011,35.98611111,-113.81694444,
10012,40.97111111,-74.99750000,
10013,33.62388889,-101.24083333,
10014,64.36416667,-147.36138889,
10014,64.36361111,-147.36388889,
10015,57.06666667,-153.93777778,
10016,58.45750000,-154.02333333,
10017,57.27722222,-154.34222222,
10018,61.96388889,-151.55583333,
10019,65.65555556,-165.35638889,
10020,66.76583333,-160.15250000,
10020,66.76611111,-160.15277778,
10021,56.59805556,-134.24277778,
10022,60.48138889,-146.58222222,
10022,60.48222222,-146.58222222,
10022,60.48166667,-146.58416667,
10022,60.48222222,-146.58222222,
10022,60.48166667,-146.58416667,
10023,59.95555556,-158.48055556,
10023,59.95555556,-158.48055556,
10024,60.78388889,-159.54027778,
10025,60.78527778,-158.86444444,
10026,61.39027778,-157.99555556,
10027,61.18888889,-159.85833333,
10028,70.71861111,-154.38833333,
10028,70.71555556,-154.40694444,
10029,70.74694444,-155.36083333,
10030,58.06555556,-153.07250000,
10031,63.54166667,-150.99388889,
10031,63.54111111,-150.99500000,
10031,63.54166667,-150.99388889,
10031,63.54111111,-150.99500000,
10033,70.34416667,-150.94472222,
10034,65.85138889,-164.70277778,
10035,53.97277778,-166.85694444,
10036,59.77611111,-151.96361111,
10037,59.33166667,-135.89666667,
10038,59.28833333,-136.17388889,
10039,68.48333333,-155.73333333,
10040,64.44000000,-144.93638889,
10041,57.25388889,-154.42222222,
10042,57.32305556,-153.14944444,
10043,57.96388889,-153.05833333,
10044,58.98277778,-153.18333333,
10047,58.36194444,-152.31222222,
10049,55.56027778,-131.65555556,
10050,61.89888889,-161.43805556,
10050,61.89888889,-161.43972222,
10051,64.09722222,-143.26666667,
10052,61.86611111,-141.15972222,
10053,71.05694444,-154.72833333,
10054,70.57611111,-152.27111111,
10054,70.57472222,-152.25888889,
10055,70.35833333,-153.19666667,
10056,57.78083333,-152.39111111,
10058,57.81666667,-134.58333333,
10059,57.70000000,-134.26666667,
10060,57.61666667,-134.36666667,
10061,57.15000000,-153.15000000,
10062,70.28444444,-152.21194444,
10063,58.56250000,-152.59611111,
10064,64.35277778,-151.27500000,
10065,59.96388889,-152.68222222,
10066,64.33333333,-147.50000000,
10067,53.68333333,-166.75000000,
10069,56.03666667,-160.26611111,
10070,58.26666667,-157.53333333,
10070,58.26666667,-157.53333333,
10071,64.50000000,-151.66666667,
10072,68.48777778,-155.75750000,
10074,54.58333333,-164.91250000,
10074,54.58250000,-164.91444444,
10075,60.86777778,-157.39194444,
10076,65.31111111,-143.13527778,
10076,65.31138889,-143.13555556,
10076,65.31166667,-143.13416667,
10076,65.31138889,-143.13555556,
10076,65.31166667,-143.13416667,
10078,57.53833333,-154.16444444,
10079,60.90555556,-149.62388889,
10079,60.90416667,-149.62388889,
10079,60.90722222,-149.62277778,
10079,60.90416667,-149.62388889,
10079,60.90722222,-149.62277778,
10080,57.84944444,-153.11527778,
10082,55.74000000,-162.12527778,
10083,57.77416667,-153.54472222,
10084,59.73833333,-151.03000000,
10085,59.83333333,-152.58472222,
10086,63.73250000,-148.91055556,
10087,59.24111111,-151.87722222,
10088,58.17194444,-152.89416667,
10089,58.46444444,-152.59305556,
10090,57.34333333,-152.89722222,
10091,71.03000000,-154.44361111,
10092,71.50166667,-154.03388889,
10093,70.57388889,-155.32138889,
10094,70.66277778,-154.83666667,
10095,60.69027778,-151.28888889,
10096,59.37638889,-150.76500000,
10097,63.75555556,-147.93000000,
10098,61.85944444,-154.27666667,
10100,58.58305556,-152.44583333,
10102,59.92500000,-147.51666667,
10103,59.03916667,-158.46388889,
10104,69.15555556,-163.49722222,
10105,69.14805556,-163.51027778,
10106,59.79166667,-151.26666667,
10107,70.57416667,-155.31805556,
10108,70.31194444,-153.24916667,
10109,70.98083333,-157.09500000,
10110,68.98555556,-163.47972222,
10111,69.17083333,-163.25638889,
10112,68.67666667,-162.64694444,
10113,59.95277778,-162.61694444,
10116,59.63333333,-151.20833333,
10117,66.95583333,-155.61500000,
10118,-17.35388889,-145.50972222,
10118,-17.35250000,-145.51000000,
10119,-26.70000000,141.04166667,
10120,31.07638889,33.83333333,
10120,31.07333333,33.83583333,
10121,36.82166667,7.81000000,
10121,36.82222222,7.80944444,
10121,36.82944444,7.81388889,
10122,29.72750000,-85.02750000,
10122,29.72750000,-85.02750000,
10122,29.72750000,-85.02750000,
10122,29.72750000,-85.02750000,
10123,50.82305556,6.18611111,
10123,50.82305556,6.18611111,
10123,50.82305556,6.18750000,
10123,50.82305556,6.18750000,
10123,50.82305556,6.18750000,
10123,50.82305556,6.18750000,
10124,-12.91666667,-46.93333333,
10124,-13.02500000,-46.88416667,
10124,-13.02583333,-46.88361111,
10124,-13.02500000,-46.88416667,
10124,-13.02583333,-46.88361111,
10125,57.09305556,9.85000000,
10125,57.09277778,9.84916667,
10125,57.09416667,9.85583333,
10126,-24.80833333,31.54166667,
10126,-24.81694444,31.54416667,
10127,24.26166667,55.60916667,
10127,24.26194444,55.60750000,
10127,24.26166667,55.60916667,
10128,9.43194444,-64.46388889,
10128,9.43027778,-64.47083333,
10128,9.43000000,-64.47083333,
10128,9.43027778,-64.47083333,
